shop_id,nama_toko,username_shopee,followers,jumlah_produk,rating,rating_baik,rating_normal,rating_buruk,lokasi,official,verified,preferred_plus,response_rate,response_time_detik,cancellation_rate,deskripsi,estimasi_total_orders,estimasi_monthly_orders,estimasi_monthly_revenue_idr
94309880,"Madame Gie Official Shop","madamegieofficial",8516441,279,4.80096,12218347,357803,91871,"KOTA JAKARTA BARAT","Ya","Tidak","Tidak",100,35,0,"Welcome To Madame Gie Official Shop. Everything you need is here, go grab yours! #CantikEkonomis",101344168,2815116,225209280000
62582411,"Maybelline Indonesia Official Store","maybellineindonesia",7569639,182,4.895376,9765930,112329,29474,"KOTA JAKARTA UTARA","Ya","Tidak","Tidak",100,18,0,"Maybelline Indonesia Official Store adalah akun resmi Maybelline New York di Shopee. Maybelline New York adalah merek make-up nomor satu di dunia yang tersedia di lebih dari 100 negara. Maybelline New",79261864,2201718,176137440000
59763733,"Wardah Official Shop","wardahofficial",7314191,601,4.900293,12164888,114619,24823,"KOTA JAKARTA SELATAN","Ya","Tidak","Tidak",100,44,0,"Wardah adalah sebuah brand kecantikan yang peduli dan mengerti keinginan setiap perempuan untuk selalu memiliki perasaan tenang dan nyaman dengan penampilannya. Wardah sebagai pelopor dalam menciptaka",98434640,2734296,218743680000
744873,"TnT Beauty Shop","tntbeautyshop",6847349,6815,4.886723,26826990,331218,93524,"KOTA JAKARTA BARAT","Tidak","Ya","Ya",100,61,1,"OPEN, AUTHENTIC ONLY! ORIGINAL 100%!
☀
Reseller Ok, Dropship Aman (HARUS isi di kolom Dropship)
CHAT di balas 1-1 ->Jam 09.00-18.00
Proses H+1-2 dari transfer
☀
Varian bisa di klik = READY",218013856,6055940,484475200000
48382819,"Belia Cosmetic","beliacosmetic",6182064,4431,4.892506,25181639,268349,59701,"KOTA SURABAYA","Tidak","Ya","Ya",100,534,0,"Shopee Super FMCG Seller Super Award 2021
 Shopee Super FMCG Seller Super Award 2020
 Shopee Top FMCG Seller Super Award 2020
 Shopee Best Customer Experien",204077512,5668820,453505600000
195455930,"SOMETHINC Official Shop","somethinc",5957508,107,4.923625,4926005,34816,6549,"KOTA TANGERANG","Ya","Tidak","Tidak",100,6,0,"Akun ini adalah Official Store SOMETHINC di platform Shopee.
BPOM & HALAL Certified
We created SOMETHINC, because we believe that there is always Somethinc for everyone!
Our promise is to provide the",39738960,1103860,88308800000
255365082,"Scarlett Whitening Official Shop","scarlettofficialshop",5912466,176,4.908117,5970678,54084,12072,"KOTA JAKARTA UTARA","Ya","Tidak","Tidak",100,19,0,"Scarlett Whitening Official Shop adalah akun resmi dari Scarlett Whitening di platform Shopee.

Pengiriman :
- Senin-Sabtu (JNE, JNT & GO-SEND max jam 2 sore)
- Minggu / Tgl Merah (GO-SEND max jam 12",48294672,1341519,107321520000
809769142,"Glad2Glow Official Store","glad2glow.indo",5481373,247,4.878273,7892081,92451,19302,"KAB. TANGERANG","Ya","Tidak","Tidak",100,28,0,"Glad2Glow Official Shop adalah akun resmi brand Glad2Glow di platform shopee. Toko yang menjual semua kebutuhan kulit anda. Mulai dari perawatan kulit berjerawat hingga pelembab, dari pencuci muka hin",64030672,1778630,142290400000
710619388,"The Originote Official Shop","theoriginoteofficial",5317758,53,4.877026,7067130,81809,13987,"KOTA JAKARTA TIMUR","Ya","Tidak","Tidak",100,19,0,"",57303408,1591761,127340880000
72375863,"YOU Beauty Official Store","youbeautyofficial",5146028,77,4.881126,3487202,41912,7999,"KOTA JAKARTA UTARA","Ya","Tidak","Tidak",100,21,0,"Hi BeYOUtygirl!

Y.O.U Beauty Official Store adalah akun resmi milik Y.O.U di platform Shopee. Kami menjamin keaslian seluruh produk yang dijual dan secara resmi sudah memiliki sertifikasi BPOM. 

Pro",28296904,786025,62882000000
380266264,"SKINTIFIC Official Store","skintific_id",4883037,260,4.912847,6591023,47005,12447,"KOTA JAKARTA TIMUR","Ya","Tidak","Tidak",100,16,0,"SKINTIFIC Official Store adalah akun resmi dari SKINTIFIC di platform Shopee. Operational Hours Senin-Minggu 08.00 - 24:00 WIB",53203800,1477883,118230640000
14318452,"Unilever Indonesia Official Shop","unileverindonesia",4380591,9534,4.902123,27907959,319648,108175,"KOTA BEKASI","Ya","Tidak","Tidak",100,13,0,"Unilever Indonesia Official Shop merupakan akun resmi Unilever Indonesia di Shopee. Unilever Indonesia membantu memenuhi kebutuhan konsumen dengan menghadirkan produk berkualitas seperti Pond’s, Dove,",226686256,6296840,503747200000
62583853,"Garnier Indonesia Official Shop","garnierindonesia",4202636,277,4.894202,5475275,66391,20966,"KOTA JAKARTA UTARA","Ya","Tidak","Tidak",100,13,0,"Garnier Indonesia Official Shop
Garnier menjunjung tinggi “GreenScience"" dan “GreenThinking"" sebagai filosofi dasarnya dan alam selalu menjadi sumber inspirasi dan inovasi. Bagi Garnier, kecantikan da",44501056,1236140,98891200000
63984475,"Make Over Official Shop","makeoverofficial",4159059,264,4.913254,3292825,28431,7900,"KOTA JAKARTA SELATAN","Ya","Tidak","Tidak",100,55,0,"Make Over Official Shop 

Make Over is a professional leading cosmetics brand founded in 2010. Make Over always commit and offers you a high quality, in order to fullfil customer expectation. With a w",26633248,739812,59184960000
313054595,"Pinkflash Indonesia Official Shop   ","pinkflashofficialshop",3721059,171,4.858089,4854078,87180,8359,"KAB. TANGERANG","Ya","Tidak","Tidak",100,7238,0,"Selamat datang di Pinkflash Indonesia Official Shop!
Pinkflash Indonesia Official Shop adalah akun resmi dari Pinkflash di platform shopee.

Semua produk Pinkflash ditoko kami adalah produk resmi dan",39596936,1099915,87993200000
63983008,"Emina Official Shop","eminaofficial",3669817,241,4.896176,4001042,43386,7319,"KOTA JAKARTA SELATAN","Ya","Tidak","Tidak",100,60,0,"Emina Official Shop merupakan akun resmi Emina di platform Shopee

Emina, everyday is a chance to play, try new things, shared laughter and happiness. Emina understand that pretty are simple and fun.",32413976,900388,72031040000
129681299,"Hanasui Official Shop","hanasui_official",3513449,158,4.870974,5542364,75598,21999,"KAB. TANGERANG","Ya","Tidak","Tidak",98,2704,0,"HANASUI Official Shop adalah Akun resmi dari HANASUI di Platform Shopee

HANASUI merupakan Brand kosmetik Lokal serta telah memiliki serttifikasi BPOM dan Halal",45119688,1253325,100266000000
62579622,"L'Oreal Paris Indonesia Official Shop","lorealindonesia",3340550,279,4.900366,4658933,54628,18603,"KOTA JAKARTA UTARA","Ya","Tidak","Tidak",100,13,0,"L'oreal Paris Indonesia Official Shop adalah akun resmi dari L'oreal Paris Indonesia di platform Shopee. Hadir di lebih dari 120 negara, L’Oréal Paris tumbuh dari sebuah filosofi: berinovasi dan menaw",37857312,1051592,84127360000
297682305,"BIOAQUA Indonesia Official Shop","bioaquaofficialshop",3238107,121,4.848624,4717525,85558,19264,"KAB. TANGERANG","Ya","Tidak","Tidak",100,91,0,"BIOAQUA Official Shop adalah akun resmi BIOAQUA di Shopee
❤ 100% Original product
❤ Best Price & Good Service
❤ Cash on delivery（COD is available）
❤ HARI KERJA :
Senin - Jumat : 09.00-22.00WIB
Weekend",38578776,1071633,85730640000
80036545,"Azarine Cosmetic Official Shop","azarinecosmetic",3140167,260,4.87806,3486080,41730,8204,"KAB. SIDOARJO","Ya","Tidak","Tidak",100,47,0,"Azarine Cosmetic Official Shop merupakan akun resmi Azarine di Shopee.

Azarine adalah Brand Produk Kecantikan Lokal yang di Produksi Oleh PT. Wahana Kosmetika Indonesia. 

Produk - produk Azarine ter",28288112,785781,62862480000
481522314,"barenbliss Official Shop","barenbliss",2669389,60,4.904792,1788895,18745,4319,"KAB. TANGERANG","Ya","Tidak","Tidak",100,14,0,"barenbliss Official Shop adalah akun resmi barenbliss di Shopee.
""B+N+B"" Philosophy: Bare essentials, Nature Inspired, and Bliss moments.

Visit our Social Media: @barenbliss_id

Chat Operational: 
Se",14495672,402658,32212640000
26177891,"HERMANCOLLECTION","hermancollection",2659972,2312,4.738259,9359162,392015,130411,"KAB. TANGERANG","Tidak","Ya","Ya",100,6961,0,"⭐Herman Collection Official Shop⭐

Herman Collection Official Shop Adalah Suplier dan Distributor Resmi Di Platform Shopee

✔Pelayanan Cepat Dan Fast Respon
✔Barang Hot Item Dan Up To Date
✔Pr",79052704,2195908,175672640000
115276607,"Npure Official Shop","npureofficialshop",2574188,178,4.911616,2793200,20908,3734,"KOTA JAKARTA UTARA","Ya","Tidak","Tidak",100,14,0,"NPURE Official Shop adalah akun resmi NPURE di Plaform Shopee

Follow Shopee NPURE & get 10% off 
Tutorial & review check IG @Npureofficial

Jam Operasional :
Senin - Jumat         = 08:00 - 17:00
Sab",22542736,626187,50094960000
6080165,"distributor.cream.ori","distributor.creamrd.ori",2491704,4205,4.843413,7319946,143998,37228,"KOTA JAKARTA UTARA","Tidak","Ya","Ya",99,3069,0,"PRODUK 100% ORIGINAL
Pengiriman senin - minggu
Pengemasan dlm hari yg sama max order jam 15.00, kecuali overload h+1/h+2
DROPSHIP AMAN
 Komplain sertakan video unboxing, foto produk + label",60009376,1666927,133354160000
186214521,"Guardian Official Shop","guardianofficial",2479717,8866,4.901559,6108157,62270,18941,"KAB. BEKASI","Ya","Tidak","Tidak",100,453,0,"Guardian Official Shop merupakan akun resmi Guardian di Shopee dan merupakan jaringan ritel kesehatan & kecantikan no.1 di Indonesia. Menghadirkan inspirasi untuk kesehatan & kecantikan perempuan Indo",49514944,1375415,110033200000
64474495,"Wings Official Shop","wingsofficialshop",2457714,4579,4.893293,24069817,303093,89503,"KOTA BEKASI","Ya","Tidak","Tidak",100,27,0,"Wings Official Shop adalah akun resmi Wings Indonesia di plattform Shopee.
Kami menyediakan berbagai macam kebutuhan rumah tangga anda  seperti produk kencantikan, makanan, hingga produk pembersih pak",195699304,5436092,434887360000
149205613,"GM Bear Official Shop","gm_bear",2434184,470,4.704207,2887948,149405,41365,"KAB. TANGERANG","Ya","Tidak","Tidak",100,21,0,"GM Bear Official Shop Merupakan Akun Resmi GM Bear di Platform Shopee 

Jam Buka toko:
Senin-Jumat 09.00-18.00
Sabtu 09.00-14.00
Minggu Tutup

Pembayaran Pesanan Sebelum Pukul 14.00 akan dikirimkan di",24629744,684160,54732800000
30736001,"Watsons Indonesia Official","watsonsid",2411144,16523,4.918594,8698342,70667,21484,"KAB. TANGERANG","Ya","Tidak","Tidak",87,4972,0,"Watsons Official merupakan akun resmi milik Watsons Indonesia di platform Shopee.
Watsons Indonesia melayani penjualan produk Kesehatan, Kecantikan, dan Perawatan Tubuh.

Pengaduan pelanggan:
Silakan",70323944,1953443,156275440000
